,data,hora,rodovia,km,municipio,tipo,gravidade,latitude,longitude
13763,2023-11-03,10:00:00,406.0,169,SAO GONCALO DO AMARANTE,Tombamento,Com Vítimas Feridas,-5.756651,-35.304758
13766,2023-11-03,10:00:00,406.0,169,SAO GONCALO DO AMARANTE,Queda de ocupante de veículo,Com Vítimas Feridas,-5.756651,-35.304758
13769,2023-11-03,10:00:00,406.0,169,SAO GONCALO DO AMARANTE,Colisão traseira,Com Vítimas Feridas,-5.756651,-35.304758
13772,2023-09-25,17:00:00,405.0,24,MOSSORO,Capotamento,Com Vítimas Feridas,-5.269673,-37.53744
13776,2023-09-25,17:00:00,405.0,24,MOSSORO,Saída de leito carroçável,Com Vítimas Feridas,-5.269673,-37.53744
13780,2023-11-04,13:52:00,405.0,165,RAFAEL FERNANDES,Capotamento,Com Vítimas Fatais,-6.22874202,-38.24350596
13781,2023-11-05,03:20:00,304.0,31,MOSSORO,Colisão com objeto,Sem Vítimas,-5.125933,-37.342953
13782,2023-11-05,03:20:00,304.0,31,MOSSORO,Saída de leito carroçável,Sem Vítimas,-5.125933,-37.342953
13783,2023-11-05,17:30:00,226.0,4,NATAL,Colisão transversal,Com Vítimas Fatais,-5.81613562,-35.24908846
13785,2023-11-05,18:45:00,304.0,292,MACAIBA,Colisão com objeto,Com Vítimas Feridas,-5.86802829,-35.38985079
13787,2023-11-05,18:45:00,304.0,292,MACAIBA,Colisão lateral sentido oposto,Com Vítimas Feridas,-5.86802829,-35.38985079
13789,2023-11-06,08:45:00,101.0,94,NATAL,Colisão traseira,Com Vítimas Feridas,-5.83176615,-35.21191342
13793,2023-11-06,15:15:00,226.0,7,NATAL,Queda de ocupante de veículo,Com Vítimas Feridas,-5.82773209,-35.28005834
13796,2023-11-06,15:15:00,226.0,7,NATAL,Tombamento,Com Vítimas Feridas,-5.82773209,-35.28005834
13799,2023-11-06,15:15:00,226.0,7,NATAL,Colisão transversal,Com Vítimas Feridas,-5.82773209,-35.28005834
13802,2023-11-06,17:40:00,101.0,81,NATAL,Colisão traseira,Com Vítimas Feridas,-5.76469466,-35.28295988
13804,2023-11-06,18:21:00,427.0,0,CURRAIS NOVOS,Atropelamento de Pedestre,Com Vítimas Feridas,-6.268149,-36.52254
13810,2023-11-06,18:00:00,110.0,46,MOSSORO,Colisão traseira,Com Vítimas Feridas,-5.203384,-37.325634
13812,2023-08-12,04:30:00,427.0,27,ACARI,Atropelamento de Pedestre,Com Vítimas Feridas,-6.42921388,-36.64005189
13814,2023-11-07,18:18:00,304.0,32,MOSSORO,Queda de ocupante de veículo,Com Vítimas Feridas,-5.13933087,-37.3456192
13823,2023-11-07,18:18:00,304.0,32,MOSSORO,Tombamento,Com Vítimas Feridas,-5.13933087,-37.3456192
13832,2023-11-07,18:18:00,304.0,32,MOSSORO,Colisão traseira,Com Vítimas Feridas,-5.13933087,-37.3456192
13841,2023-11-08,09:25:00,101.0,104,PARNAMIRIM,Tombamento,Com Vítimas Feridas,-5.892745,-35.257225
13843,2023-11-08,09:25:00,101.0,104,PARNAMIRIM,Queda de ocupante de veículo,Com Vítimas Feridas,-5.892745,-35.257225
13845,2023-11-08,19:20:00,304.0,297,MACAIBA,Atropelamento de Pedestre,Com Vítimas Fatais,-5.86534101,-35.340694
13847,2023-11-08,20:57:00,101.0,96,NATAL,Queda de ocupante de veículo,Com Vítimas Feridas,-5.84949622,-35.20890752
13851,2023-11-08,20:57:00,101.0,96,NATAL,Tombamento,Com Vítimas Feridas,-5.84949622,-35.20890752
13855,2023-11-08,20:57:00,101.0,96,NATAL,Colisão lateral mesmo sentido,Com Vítimas Feridas,-5.84949622,-35.20890752
13859,2023-11-09,18:25:00,226.0,48,BOM JESUS,Colisão traseira,Com Vítimas Feridas,-5.98530442,-35.58427376
13861,2023-11-09,21:29:00,101.0,106,PARNAMIRIM,Colisão transversal,Com Vítimas Feridas,-5.910553,-35.261307
13863,2023-11-10,09:30:00,101.0,96,NATAL,Engavetamento,Com Vítimas Feridas,-5.84949622,-35.20890752
13868,2023-11-10,16:30:00,406.0,156,CEARA-MIRIM,Queda de ocupante de veículo,Com Vítimas Feridas,-5.67577584,-35.4006958
13870,2023-11-10,16:30:00,406.0,156,CEARA-MIRIM,Colisão traseira,Com Vítimas Feridas,-5.67577584,-35.4006958
13872,2023-11-10,19:50:00,406.0,152,CEARA-MIRIM,Queda de ocupante de veículo,Com Vítimas Feridas,-5.65651272,-35.41672366
13873,2023-11-10,18:50:00,304.0,35,MOSSORO,Tombamento,Com Vítimas Feridas,-5.16149497,-37.35068212
13874,2023-11-11,15:55:00,101.0,101,PARNAMIRIM,Colisão lateral mesmo sentido,Com Vítimas Feridas,-5.88681084,-35.23143404
13876,2023-11-11,18:30:00,304.0,303,PARNAMIRIM,Queda de ocupante de veículo,Com Vítimas Feridas,-5.88217905,-35.28934802
13878,2023-11-11,18:30:00,304.0,303,PARNAMIRIM,Tombamento,Com Vítimas Feridas,-5.88217905,-35.28934802
13880,2023-11-11,18:30:00,304.0,303,PARNAMIRIM,Saída de leito carroçável,Com Vítimas Feridas,-5.88217905,-35.28934802
13882,2023-11-11,16:30:00,226.0,317,MESSIAS TARGINO,Saída de leito carroçável,Com Vítimas Feridas,-6.04743897,-37.46433702
13890,2023-11-11,16:30:00,226.0,317,MESSIAS TARGINO,Colisão lateral mesmo sentido,Com Vítimas Feridas,-6.04743897,-37.46433702
13898,2023-11-11,22:15:00,101.0,95,NATAL,Colisão traseira,Com Vítimas Feridas,-5.840768,-35.210358
13902,2023-11-12,00:50:00,304.0,118,ITAJA,Tombamento,Com Vítimas Feridas,-5.61744377,-36.88968843
13904,2023-11-12,00:50:00,304.0,118,ITAJA,Colisão traseira,Com Vítimas Feridas,-5.61744377,-36.88968843
13906,2023-11-12,16:20:00,101.0,96,NATAL,Colisão transversal,Com Vítimas Feridas,-5.84949622,-35.20890752
